country_name,state_name,district_name,block_name,village_name
Niger,Maradi,Aguie,Aguie,Naki Karfi
Niger,Maradi,Aguie,Aguie,Nahantsi
Niger,Maradi,Aguie,Aguie,Malam Daweye
Niger,Maradi,Aguie,Aguie,Guidan Daweye
Niger,Maradi,Aguie,Aguie,Jikata
Niger,Maradi,Aguie,Aguie,Guidan Doutchi
Niger,Maradi,Aguie,Aguie,Guidan Tagno
Niger,Maradi,Aguie,Aguie,Guidan Kaoura
Niger,Maradi,Aguie,CHADOUA,Alawa
Niger,Maradi,Aguie,CHADOUA,Elsaboua
Niger,Maradi,Aguie,CHADOUA,Dan Gado
Niger,Maradi,Aguie,CHADOUA,Guidan Kané
Niger,Maradi,Aguie,CHADOUA,N'wala
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Gaoude
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Tsanwa
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Dogon Farou
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Kon Gare
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Dan Tourke
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Dan Gado
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Foura Guirke
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Hannou Ga Zane
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Karazome
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Baouratoua - 1
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Baouratoua - 2
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Halbawa Salifou
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Halbawa Koura
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Katare Moussa
Niger,Maradi,Guidan Roumdji,Guidan Roumdji,Guidan Alkali
Niger,Maradi,Guidan Roumdji,SAÉ SABOUA,Magagi Arzitaou
Niger,Maradi,Guidan Roumdji,SAÉ SABOUA,Mallammai Salifou
Niger,Maradi,Guidan Roumdji,SAÉ SABOUA,Malloumey Saboua
Niger,Maradi,Guidan Roumdji,SAÉ SABOUA,Taji Wouka
Niger,Maradi,Guidan Roumdji,SAÉ SABOUA,Dan Bako
Niger,Maradi,Gangara,Gangara,Gangara
Niger,Maradi,Gangara,Gangara,Rogogo
Niger,Maradi,Gangara,Gangara,Makada
Niger,Maradi,Gangara,Gangara,Guidan Kiata
Niger,Maradi,Gangara,Gangara,Guidan Tanko
Niger,Maradi,Gangara,Gangara,Guidan Nahantsi
Niger,Maradi,Gangara,Gangara,Malam Daweye
Niger,Maradi,MAYAHI,SARKIN HAUSA,Dan Gao namaka
Niger,Maradi,MAYAHI,SARKIN HAUSA,Ranao
Niger,Maradi,MAYAHI,SARKIN HAUSA,Mellawa
Niger,Maradi,MAYAHI,SARKIN HAUSA,Hankaka Taoura
Niger,Maradi,MAYAHI,SARKIN HAUSA,N'wala ranaou
Niger,Maradi,MAYAHI,SARKIN HAUSA,Sakop
Niger,Maradi,MAYAHI,SARKIN HAUSA,Akiata
Niger,Maradi,MAYAHI,SARKIN HAUSA,Guidan Aikaou
Niger,Maradi,MAYAHI,SARKIN HAUSA,Guidan bako karama
Niger,Maradi,MAYAHI,SARKIN HAUSA,Marafa
Niger,Maradi,MAYAHI,SARKIN HAUSA,Dan Mairo
Niger,Maradi,MAYAHI,SARKIN HAUSA,Nanaya
Niger,Maradi,MAYAHI,SARKIN HAUSA,Marindawa
Niger,Maradi,MAYAHI,SARKIN HAUSA,Dan gao Namakka
Niger,Maradi,MAYAHI,SARKIN HAUSA,Baraya doumoumiune
Niger,Maradi,MAYAHI,SARKIN HAUSA,Guidan dawo
Niger,Maradi,MAYAHI,SARKIN HAUSA,Dan Bakoye
Niger,Maradi,MAYAHI,SARKIN HAUSA,Dan zaki
Niger,Maradi,MAYAHI,SARKIN HAUSA,Guidan Aouta
Niger,Maradi,MAYAHI,SARKIN HAUSA,Barazaki
Niger,Maradi,MAYAHI,SARKIN HAUSA,GUIDAN MIKO
Niger,Maradi,MAYAHI,SARKIN HAUSA,DAN ZAKI
Niger,Maradi,MAYAHI,SARKIN HAUSA,BARAYA DOUMOUMOU2
Niger,Maradi,MAYAHI,SARKIN HAUSA,GUIDAN KOUSSO
Niger,Maradi,MAYAHI,SARKIN HAUSA,GAWARO
Niger,Zinder,KANTCHÉ,KANTCHÉ,GWATI
Niger,Zinder,KANTCHÉ,KANTCHÉ,Kantché Bougagé
Niger,Zinder,KANTCHÉ,KANTCHÉ,Daneiki Bougage
Niger,Zinder,KANTCHÉ,KANTCHÉ,Iletafan
Niger,Zinder,KANTCHÉ,KANTCHÉ,Kouni Haussa
Niger,Zinder,KANTCHÉ,KANTCHÉ,BADAWA
Niger,Zinder,KANTCHÉ,KANTCHÉ,Tassaou Haoussa
Niger,Zinder,KANTCHÉ,YAOURI,ZAGAWA HAOUSSA
Niger,Zinder,KANTCHÉ,YAOURI,GUERTAOU HAOUSSA
Niger,Zinder,KANTCHÉ,YAOURI,ANGOUAL GAMDJI
Niger,Zinder,KANTCHÉ,YAOURI,Garin Nakaka
Niger,Zinder,KANTCHÉ,YAOURI,ARTEYE
Niger,Zinder,KANTCHÉ,YAOURI,GOUREY
Niger,Zinder,KANTCHÉ,YAOURI,ANGOUAL KIRYA
Niger,Zinder,KANTCHÉ,YAOURI,DANANA
Niger,Zinder,MIRRIAH,Dogo,Angoual Gao VA
Niger,Zinder,MIRRIAH,Dogo,Bakoum
Niger,Zinder,MIRRIAH,Dogo,Danhountouwa
Niger,Zinder,MIRRIAH,Dogo,Doulay I
Niger,Zinder,MIRRIAH,Dogo,Garake
Niger,Zinder,MIRRIAH,Dogo,Garin Tamdji
Niger,Zinder,MIRRIAH,Dogo,Gouloubai
Niger,Zinder,MIRRIAH,Dogo,Habandou
Niger,Zinder,MIRRIAH,Dogo,Kalgo Maikassoua VA
Niger,Zinder,MIRRIAH,Dogo,Kalgo Tchama
Niger,Zinder,MIRRIAH,Dogo,Mai Douroumi
Niger,Zinder,MIRRIAH,Dogo,Makokia Riga M
Niger,Zinder,MIRRIAH,Dogo,Makokia 
Niger,Zinder,MIRRIAH,Dogo,Rouwan Chabara
Niger,Zinder,MIRRIAH,droum,Gourbébé
Niger,Zinder,MIRRIAH,droum,Koudouma
Niger,Zinder,MIRRIAH,droum,Droum Kafi
Niger,Zinder,MIRRIAH,droum,Banima
Niger,Zinder,MIRRIAH,droum,Magaria Tounkour
Niger,Zinder,MIRRIAH,droum,Droum Malori
Niger,Zinder,MIRRIAH,droum,Gogo
Niger,Zinder,MIRRIAH,droum,Babban Korami
Niger,Zinder,MIRRIAH,droum,Katangou
Niger,Zinder,MIRRIAH,droum,Kouikouiwa
Niger,Zinder,MIRRIAH,droum,Jarawa
Niger,Zinder,MIRRIAH,droum,Garaourawa
Niger,Zinder,MIRRIAH,droum,Kogon Shemé
Niger,Zinder,MIRRIAH,droum,Nafouta
Niger,Zinder,MIRRIAH,droum,Rouwan Tsami
Niger,Zinder,MAGARIA,BANDÉ,Kaba Dan korao
Niger,Zinder,MAGARIA,BANDÉ,Babban Rouwa
Niger,Zinder,MAGARIA,BANDÉ,Gaounawa
Niger,Zinder,MAGARIA,BANDÉ,Gabi
Niger,Zinder,MAGARIA,BANDÉ,Gagou Moungaye
Niger,Zinder,MAGARIA,BANDÉ,Dan Jagalé
Niger,Zinder,MAGARIA,BANDÉ,Goshelo
Niger,Zinder,MAGARIA,BANDÉ,Ara Sofoua
Niger,Zinder,MAGARIA,BANDÉ,Beikori
Niger,Zinder,MAGARIA,BANDÉ,Kaba Dakouna
Niger,Zinder,MAGARIA,BANDÉ,Tilla
Niger,Zinder,MAGARIA,BANDÉ,Kaba Zané
Niger,Zinder,MAGARIA,BANDÉ,Rawayou Sabouwa
Niger,Zinder,MAGARIA,BANDÉ,Gamba
Niger,Zinder,MAGARIA,BANDÉ,Lakiré
Niger,Zinder,MAGARIA,BANDÉ,Gomba Haoussa
Niger,Zinder,MAGARIA,BANDÉ,Malan Leko
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,TIBOUDI
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,KOMONPOUMA
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,KOURGOU
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,KIARGOU
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,OUE
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,GAMBOUDENI
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,DJORA
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,TOUMBENGA
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,LAAFIA
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,SOALIMOU
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,BANLIKIDINI
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,MALDIABARE
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,BABONGUIN
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,GNIFOAGMA
Burkina Faso,East (Fada N'Gourma),KOMONDJARI,GAYERI,BASSIERI
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,BANGAYE
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,BOURGOU
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,NATIMSA
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,DAKIRI
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,TAMBIDI
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,DASSARI
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,KOULFO
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,BARTIEBOUGOU
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,KAMISSI
Burkina Faso,East (Fada N'Gourma),GNAGNA,MANNI,KOMONA
Senegal,Kaolack,Kaolack,Ndiaffatte ,Ndiafatte /Ndiatiang
Senegal,Kaolack,Kaolack,Keur Baka,Keur Baka Sellick
Senegal,Kaolack,Nioro du Rip,Wakhoungouna,Wakhouna
Senegal,Kaolack,Nioro du Rip,Médina Sabakh,Médina Sabakh
Senegal,Kaolack,Nioro du Rip,Paoskoto ,Paoskoto
Senegal,Kaolack,Nioro du Rip,Taiba Niassène,Taiba Niassène
Senegal,Fatick,Foundiougne,Toubacouta,Toubacouta
Senegal,Fatick,Foundiougne,Jonwar,Jonwar
Senegal,Fatick,Foundiougne,Diossong,Diossong
Senegal,Fatick,Foundiougne,Djilor,Djilor
Senegal,Fatick,Foundiougne,Nioro Alassane Tall,Nioro Alassane Tall
Senegal,Kaffrine,Kaffrine,Diamagadio,Diamagadio
Senegal,Kaffrine,Kaffrine,Kathiotte ,Kathiotte 
Senegal,Kaffrine,Koungheul,Gainte Pathé,Gainte Pathé
Senegal,Kaffrine,Koungheul,Ida Mouride,Ida Mouride
Senegal,Kaffrine,Koungheul,Ida Mouride,Khour Danane
Senegal,Kaffrine,Koungheul,Lour Escale,Lour Escale
Senegal,Kaolack,Nioro du Rip,Médina Sabakh,Djigimar
Senegal,Kaolack,Nioro du Rip,Médina Sabakh,Médina Sabakh
Senegal,Kaolack,Nioro du Rip,Paoskoto ,Ndemen
Senegal,Kaolack,Nioro du Rip,Paoskoto ,Bouboudem
Senegal,Kaolack,Nioro du Rip,Taiba Niassène,Mbitéyen
Senegal,Kaolack,Nioro du Rip,Taiba Niassène,Taiba Niassène
Senegal,Fatick ,Foundiougne,Toubacouta,Toubacouta
Senegal,Fatick ,Foundiougne,Palmarin,Djiffer 
Senegal,Kaolack,Nioro du Rip,Paoskoto, Keur Bara Tambedou 
Senegal,Kaolack,Nioro du Rip,Paoskoto,Keur Malé
Senegal,Kaffrine,Koungheul,Lour Escale,Coura Mouride
Senegal,Kaffrine,Koungheul,Ida Mouride,Taba 
Senegal,Kaffrine,Koungheul,Ida Mouride,Khoudane
Senegal,Kaffrine,Koungheul,Lour Escale,Niollé
